Word,Lower,Level
gleich,gleich,A1
Gramm,gramm,A1
Himbeere,himbeere,A1
Honig,honig,A1
Joghurt,joghurt,A1
Kaffee,kaffee,A1
Kartoffel,kartoffel,A1
Käse,käse,A1
kaufen,kaufen,A1
Keks,keks,A1
Kichererbse,kichererbse,A1
Kilo,kilo,A1
Kirsche,kirsche,A1
Kiwi,kiwi,A1
Kontrolle,kontrolle,A1
kosten,kosten,A1
Kuchen,kuchen,A1
Kunde,kunde,A1
Kundin,kundin,A1
kurz,kurz,A1
Lammﬂeisch,lammﬂeisch,A1
Lebensmittel,lebensmittel,A1
Limonade,limonade,A1
Liter,liter,A1
man,man,A1
Mandarine,mandarine,A1
Mango,mango,A1
Markt,markt,A1
Marmelade,marmelade,A1
Mehl,mehl,A1
meistens,meistens,A1
Mengenangabe,mengenangabe,A1
Melone,melone,A1
Milch,milch,A1
Milchprodukt,milchprodukt,A1
mögen,mögen,A1
Möhre,möhre,A1
müssen,müssen,A1
nehmen,nehmen,A1
Nudel,nudel,A1
nur,nur,A1
Obst,obst,A1
Obstsalat,obstsalat,A1
Olivenöl,olivenöl,A1
Orange,orange,A1
ordnen,ordnen,A1
Packung,packung,A1
Paprika,paprika,A1
Partner,partner,A1
Partnerin,partnerin,A1
Pfund,pfund,A1
Pilz,pilz,A1
planen,planen,A1
Preis,preis,A1
pro,pro,A1
Pudding,pudding,A1
Reis,reis,A1
Rindﬂeisch,rindﬂeisch,A1
Saft,saft,A1
Sahne,sahne,A1
Salat,salat,A1
Salz,salz,A1
sich,sich,A1
schmecken,schmecken,A1
Schokolade,schokolade,A1
schön,schön,A1
Schweineﬂeisch,schweineﬂeisch,A1
sonst,sonst,A1
stehen,stehen,A1
streichen,streichen,A1
Stück,stück,A1
Tasse,tasse,A1
Tee,tee,A1
teuer,teuer,A1
Tipp,tipp,A1
Tomate,tomate,A1
Traube,traube,A1
trinken,trinken,A1
unterstreichen,unterstreichen,A1
verbinden,verbinden,A1
Verkäufer,verkäufer,A1
Verkäuferin,verkäuferin,A1
von,von,A1
Wasser,wasser,A1
Wein,wein,A1
Zitrone,zitrone,A1
Zucker,zucker,A1
Zwiebel,zwiebel,A1
abends,abends,A1
Alltag,alltag,A1
anrufen,anrufen,A1
Arbeit,arbeit,A1
aufstehen,aufstehen,A1
beginnen,beginnen,A1
beide,beide,A1
Bett,bett,A1
bis,bis,A1
Büro,büro,A1
Computer,computer,A1
Computerspiel,computerspiel,A1
erst,erst,A1
fernsehen,fernsehen,A1
Film,film,A1
Freundin,freundin,A1
früh,früh,A1
Fußball,fußball,A1
Deutsch,deutsch,A1
gehen,gehen,A1
geöffnet,geöffnet,A1
grillen,grillen,A1
halb,halb,A1
Hunger,hunger,A1
Idee,idee,A1
Interview,interview,A1
kochen,kochen,A1
können,können,A1
lecker,lecker,A1
leider,leider,A1
manchmal,manchmal,A1
mehr,mehr,A1
Mittag,mittag,A1
mittags,mittags,A1
Mittagspause,mittagspause,A1
Morgen,morgen,A1
morgens,morgens,A1
müde,müde,A1
Musik,musik,A1
Nachmittag,nachmittag,A1
nachmittags,nachmittags,A1
nachts,nachts,A1
nie,nie,A1
Notizzettel,notizzettel,A1
oft,oft,A1
Pizza,pizza,A1
putzen,putzen,A1
schade,schade,A1
schlafen,schlafen,A1
Schluss,schluss,A1
Schule,schule,A1
spät,spät,A1
spazieren,spazieren,A1
Spiel,spiel,A1
Sport,sport,A1
Stunde,stunde,A1
Stundenplan,stundenplan,A1
Supermarkt,supermarkt,A1
telefonieren,telefonieren,A1
tun,tun,A1
Uhr,uhr,A1
Uhrzeit,uhrzeit,A1
um,um,A1
Unterricht,unterricht,A1
Viertel,viertel,A1
vor,vor,A1
Vormittag,vormittag,A1
vormittags,vormittags,A1
wann,wann,A1
Wohnung,wohnung,A1
zeichnen,zeichnen,A1
Zeit,zeit,A1
zu Hause,zu Hause,A1
ab,ab,A1
Altbau,altbau,A1
Angabe,angabe,A1
Anzeige,anzeige,A1
Arbeitszimmer,arbeitszimmer,A1
Bad,bad,A1
baden,baden,A1
Badewanne,badewanne,A1
Badezimmer,badezimmer,A1
Balkon,balkon,A1
Bauernhof,bauernhof,A1
bei,bei,A1
bekommen,bekommen,A1
Besichtigungstermin,besichtigungstermin,A1
besser,besser,A1
billig,billig,A1
breit,breit,A1
circa,circa,A1
dazu,dazu,A1
Diele,diele,A1
direkt,direkt,A1
dort,dort,A1
draußen,draußen,A1
dringend,dringend,A1
dunkel,dunkel,A1
Dusche,dusche,A1
Einfamilienhaus,einfamilienhaus,A1
einkaufen,einkaufen,A1
Elektrogerät,elektrogerät,A1
Erdgeschoss,erdgeschoss,A1
ersetzen,ersetzen,A1
Euro,euro,A1
Fernseher,fernseher,A1
ﬁnden,ﬁnden,A1
Firma,firma,A1
Flur,flur,A1
frei,frei,A1
Garage,garage,A1
Garten,garten,A1
Gast,gast,A1
Geld,geld,A1
gemütlich,gemütlich,A1
gepﬂegt,gepﬂegt,A1
Gerät,gerät,A1
Geschäft,geschäft,A1
Gespräch,gespräch,A1
Größe,größe,A1
grün,grün,A1
hängen,hängen,A1
hässlich,hässlich,A1
Hauptsache,hauptsache,A1
Haus,haus,A1
Haustier,haustier,A1
Heizung,heizung,A1
helfen,helfen,A1
hell,hell,A1
Herd,herd,A1
Hilfe,hilfe,A1
hinten,hinten,A1
Hochhaus,hochhaus,A1
Immobilie,immobilie,A1
insgesamt,insgesamt,A1
interessant,interessant,A1
jeder,jeder,A1
jede,jede,A1
jedes,jedes,A1
Juni,juni,A1
Kaffeemaschine,kaffeemaschine,A1
kalt,kalt,A1
Kaution,kaution,A1
Keller,keller,A1
Kinderzimmer,kinderzimmer,A1
Kleiderschrank,kleiderschrank,A1
Küche,küche,A1
Kühlschrank,kühlschrank,A1
lang,lang,A1
lassen,lassen,A1
laut,laut,A1
liebsten,liebsten,A1
liegen,liegen,A1
maximal,maximal,A1
Mehrfamilienhaus,mehrfamilienhaus,A1
Miete,miete,A1
mindestens,mindestens,A1
Möbel,möbel,A1
möbliert,möbliert,A1
modern,modern,A1
Monat,monat,A1
Monatsmiete,monatsmiete,A1
Müll,müll,A1
neben,neben,A1
Nebenkosten,nebenkosten,A1
ohne,ohne,A1
Obergeschoss,obergeschoss,A1
Ort,ort,A1
Pﬂanze,pﬂanze,A1
Plan,plan,A1
Platz,platz,A1
Quadratmeter,quadratmeter,A1
Regal,regal,A1
Reihenhaus,reihenhaus,A1
ruhig,ruhig,A1
schauen,schauen,A1
Schlafzimmer,schlafzimmer,A1
schmal,schmal,A1
Schrank,schrank,A1
Sessel,sessel,A1
singen,singen,A1
sitzen,sitzen,A1
Sofa,sofa,A1
sofort,sofort,A1
sollen,sollen,A1
Sonderangebot,sonderangebot,A1
Sonne,sonne,A1
sonstiges,sonstiges,A1
Sprachschule,sprachschule,A1
spülen,spülen,A1
Spülmaschine,spülmaschine,A1
Stadt,stadt,A1
suchen,suchen,A1
super,super,A1
Teppich,teppich,A1
Terrasse,terrasse,A1
Toilette,toilette,A1
toll,toll,A1
Traumwohnung,traumwohnung,A1
unbedingt,unbedingt,A1
ungemütlich,ungemütlich,A1
"unser, unsere","unser, unsere",A1
warum,warum,A1
waschen,waschen,A1
Waschmaschine,waschmaschine,A1
wegziehen,wegziehen,A1
weiter,weiter,A1
wenn,wenn,A1
werden,werden,A1
wichtig,wichtig,A1
wohnen,wohnen,A1
Wohnungsanzeige,wohnungsanzeige,A1
Wohnungssuche,wohnungssuche,A1
Wohnzimmer,wohnzimmer,A1
wunderschön,wunderschön,A1
wünschen,wünschen,A1
zahlen,zahlen,A1
Zeitung,zeitung,A1
Zentrum,zentrum,A1
Zimmer,zimmer,A1
zu Fuß,zu Fuß,A1
Ampel,ampel,A1
Ankunftszeit,ankunftszeit,A1
Ansage,ansage,A1
Apotheke,apotheke,A1
Arzt,arzt,A1
Ärztin,ärztin,A1
Auskunft,auskunft,A1
außerdem,außerdem,A1
außerplanmäßig,außerplanmäßig,A1
Auto,auto,A1
Bahn,bahn,A1
Bahnhof,bahnhof,A1
Ball,ball,A1
Bank,bank,A1
bezahlen,bezahlen,A1
Bibliothek,bibliothek,A1
Bürgerbüro,bürgerbüro,A1
Bus,bus,A1
Bushaltestelle,bushaltestelle,A1
Café,café,A1
dafür,dafür,A1
dritte,dritte,A1
Durchsage,durchsage,A1
einfach,einfach,A1
Einzelfahrkarte,einzelfahrkarte,A1
erste,erste,A1
Erwachsene,erwachsene,A1
fahren,fahren,A1
Fahrgast,fahrgast,A1
Fahrkarte,fahrkarte,A1
Fahrrad,fahrrad,A1
fallen,fallen,A1
fast,fast,A1
Flughafen,flughafen,A1
Gebäude,gebäude,A1
geben,geben,A1
gegenüber,gegenüber,A1
geradeaus,geradeaus,A1
Gleis,gleis,A1
gültig,gültig,A1
halten,halten,A1
Haltestelle,haltestelle,A1
Hauptbahnhof,hauptbahnhof,A1
hinter,hinter,A1
Hotel,hotel,A1
Informationsschalter,informationsschalter,A1
Intercity,intercity,A1
Jobcenter,jobcenter,A1
Kino,kino,A1
Kirche,kirche,A1
Krankenhaus,krankenhaus,A1
Krankenkasse,krankenkasse,A1
Kreuzung,kreuzung,A1
Kurzstrecke,kurzstrecke,A1
Linie,linie,A1
links,links,A1
Lösung,lösung,A1
Meter,meter,A1
Metzger,metzger,A1
Minute,minute,A1
Mobilität,mobilität,A1
Motorrad,motorrad,A1
nachfragen,nachfragen,A1
nächster,nächster,A1
nächste,nächste,A1
nächstes,nächstes,A1
nichts,nichts,A1
öffentlich,öffentlich,A1
Orientierung,orientierung,A1
Park,park,A1
Parkgebühr,parkgebühr,A1
Parkplatz,parkplatz,A1
Polizei,polizei,A1
Position,position,A1
Post,post,A1
praktisch,praktisch,A1
rechts,rechts,A1
Rathaus,rathaus,A1
Regionalbahn,regionalbahn,A1
Restaurant,restaurant,A1
Ruhe,ruhe,A1
Schienenersatzverkehr,schienenersatzverkehr,A1
Schwimmbad,schwimmbad,A1
selten,selten,A1
sowieso,sowieso,A1
später,später,A1
Stadtplan,stadtplan,A1
Stadtwald,stadtwald,A1
steigen,steigen,A1
Straßenbahn,straßenbahn,A1
Tageskarte,tageskarte,A1
Taxi,taxi,A1
überall,überall,A1
umsteigen,umsteigen,A1
ungefähr,ungefähr,A1
unter,unter,A1
Verfügung,verfügung,A1
Verkehrsmittel,verkehrsmittel,A1
verstanden,verstanden,A1
verzögern,verzögern,A1
Volkshochschule,volkshochschule,A1
voll,voll,A1
vorbei,vorbei,A1
vorne,vorne,A1
warten,warten,A1
Weg,weg,A1
Winter,winter,A1
Wochenmarkt,wochenmarkt,A1
wohin,wohin,A1
wollen,wollen,A1
Zug,zug,A1
zweimal,zweimal,A1
zweite,zweite,A1
zwischen,zwischen,A1
anfangen,anfangen,A1
Arbeitstag,arbeitstag,A1
Ausbildung,ausbildung,A1
ausfüllen,ausfüllen,A1
Aushilfe,aushilfe,A1
Automechaniker,automechaniker,A1
Automechanikerin,automechanikerin,A1
backen,backen,A1
Bäcker,bäcker,A1
Bäckerin,bäckerin,A1
bald,bald,A1
berichten,berichten,A1
Beruf,beruf,A1
beruﬂich,beruﬂich,A1
Bürokauffrau,bürokauffrau,A1
Bürokaufmann,bürokaufmann,A1
Chef,chef,A1
Cheﬁn,cheﬁn,A1
Computerprogramm,computerprogramm,A1
Computersystem,computersystem,A1
dauern,dauern,A1
dreimal,dreimal,A1
Fahrer,fahrer,A1
fangen,fangen,A1
Feierabend,feierabend,A1
ﬂexibel,ﬂexibel,A1
fotograﬁeren,fotograﬁeren,A1
freundlich,freundlich,A1
Führerschein,führerschein,A1
Fußballspieler,fußballspieler,A1
Gitarre,gitarre,A1
halbtags,halbtags,A1
Hausfrau,hausfrau,A1
Hausmann,hausmann,A1
Hund,hund,A1
installieren,installieren,A1
Kantine,kantine,A1
kaputt,kaputt,A1
Kasse,kasse,A1
Kassierer,kassierer,A1
Kassiererin,kassiererin,A1
Kauffrau,kauffrau,A1
Kellner,kellner,A1
Kellnerin,kellnerin,A1
klingeln,klingeln,A1
Koch,koch,A1
Köchin,köchin,A1
Kollege,kollege,A1
Kollegin,kollegin,A1
Konzert,konzert,A1
korrigieren,korrigieren,A1
Kraftfahrzeug,kraftfahrzeug,A1
Krankenpﬂeger,krankenpﬂeger,A1
Krankenschwester,krankenschwester,A1
kreativ,kreativ,A1
langweilig,langweilig,A1
Leute,leute,A1
Mathematik,mathematik,A1
Mechaniker,mechaniker,A1
Mensch,mensch,A1
Mittagessen,mittagessen,A1
Moment,moment,A1
Musiklehrer,musiklehrer,A1
Musiklehrerin,musiklehrerin,A1
Nachtdienst,nachtdienst,A1
organisieren,organisieren,A1
Pizzafahrer,pizzafahrer,A1
Pizzeria,pizzeria,A1
Pﬂege,pﬂege,A1
prüfen,prüfen,A1
pünktlich,pünktlich,A1
Radio,radio,A1
rechnen,rechnen,A1
Rentner,rentner,A1
Reparatur,reparatur,A1
reparieren,reparieren,A1
Reporter,reporter,A1
Roman,roman,A1
schlimm,schlimm,A1
Schüler,schüler,A1
Schülerin,schülerin,A1
servieren,servieren,A1
Stress,stress,A1
Student,student,A1
Studentin,studentin,A1
studieren,studieren,A1
Taxifahrer,taxifahrer,A1
Taxifahrerin,taxifahrerin,A1
Techniker,techniker,A1
Telefon,telefon,A1
Traumberuf,traumberuf,A1
treffen,treffen,A1
Universität,universität,A1
unterrichten,unterrichten,A1
vielleicht,vielleicht,A1
wählen,wählen,A1
Werkstatt,werkstatt,A1
Wiederhören,wiederhören,A1
zuerst,zuerst,A1
Altenpﬂegeheim,altenpﬂegeheim,A1
anbei,anbei,A1
Anrede,anrede,A1
Arm,arm,A1
atmen,atmen,A1
Auge,auge,A1
Bauch,bauch,A1
Bein,bein,A1
Bauchschmerzen,bauchschmerzen,A1
Bescheid,bescheid,A1
Besserung,besserung,A1
Betreff,betreff,A1
bevor,bevor,A1
bleiben,bleiben,A1
Brief,brief,A1
Briefteil,briefteil,A1
Brust,brust,A1
danach,danach,A1
Datum,datum,A1
dürfen,dürfen,A1
Ellbogen,ellbogen,A1
