Word,Lower,Level
Accessoires,accessoires,A2
anhaben,anhaben,A2
Apfelschorle,apfelschorle,A2
Aubergine,aubergine,A2
Ausrüstung,ausrüstung,A2
Babyartikel,babyartikel,A2
Badesachen,badesachen,A2
Bart,bart,A2
Bekleidung,bekleidung,A2
bestimmt,bestimmt,A2
blond,blond,A2
braten,braten,A2
bummeln,bummeln,A2
bunt,bunt,A2
Camping,camping,A2
Champignon,champignon,A2
Currywurst,currywurst,A2
Dame,dame,A2
darin,darin,A2
dick,dick,A2
Dieb/in,dieb/in,A2
Ding,ding,A2
Duft,duft,A2
dünn,dünn,A2
Duschgel,duschgel,A2
egal,egal,A2
Ehepaar,ehepaar,A2
einfarbig,einfarbig,A2
Elektronik,elektronik,A2
Fahrradhelm,fahrradhelm,A2
fantastisch,fantastisch,A2
Fast Food,fast Food,A2
Flipflops,flipflops,A2
frittieren,frittieren,A2
Gemüselasagne,gemüselasagne,A2
gepunktet,gepunktet,A2
Gericht,gericht,A2
gestreift,gestreift,A2
glatt,glatt,A2
Glatze,glatze,A2
Gold,gold,A2
griechisch,griechisch,A2
Gulaschsuppe,gulaschsuppe,A2
Gürtel,gürtel,A2
Haarpflege,haarpflege,A2
Hauptgericht,hauptgericht,A2
Hautpflege,hautpflege,A2
hübsch,hübsch,A2
Kamera,kamera,A2
kariert,kariert,A2
Kompliment,kompliment,A2
Kopfhörer,kopfhörer,A2
Kosmetiktasche,kosmetiktasche,A2
Krawatte,krawatte,A2
Küchengerät,küchengerät,A2
laufen,laufen,A2
Lieblingsfarbe,lieblingsfarbe,A2
lockig,lockig,A2
Maus,maus,A2
Mineralwasser,mineralwasser,A2
Modegeschäft,modegeschäft,A2
Modeschmuck,modeschmuck,A2
nachher,nachher,A2
Naturkosmetik,naturkosmetik,A2
Navigationsgerät,navigationsgerät,A2
Ofen,ofen,A2
Ohrring,ohrring,A2
Parfümerie,parfümerie,A2
Pfanne,pfanne,A2
plötzlich,plötzlich,A2
Polizist/in,polizist/in,A2
Schafskäse,schafskäse,A2
scharf,scharf,A2
schauen,schauen,A2
Schaufenster,schaufenster,A2
schick,schick,A2
schlank,schlank,A2
Schmuck,schmuck,A2
Schnäppchen,schnäppchen,A2
Schnitzel,schnitzel,A2
Schnurrbart,schnurrbart,A2
Schrei,schrei,A2
Schuhgröße,schuhgröße,A2
Shorts,shorts,A2
Silber,silber,A2
Snack,snack,A2
Spielwaren,spielwaren,A2
Steak,steak,A2
stehlen,stehlen,A2
Stiefel,stiefel,A2
Süßigkeiten,süßigkeiten,A2
Tattoo,tattoo,A2
Toaster,toaster,A2
ungarisch,ungarisch,A2
Unterwäsche,unterwäsche,A2
Vanilleeis,vanilleeis,A2
Vegetarier,vegetarier,A2
Vegetarierin,vegetarierin,A2
vegetarisch,vegetarisch,A2
wandern,wandern,A2
Wanderschuh,wanderschuh,A2
Wecker,wecker,A2
wirklich,wirklich,A2
wunderbar,wunderbar,A2
zubereiten,zubereiten,A2
Zucchini,zucchini,A2
Abteilung,abteilung,A2
angeben,angeben,A2
Anruf,anruf,A2
Anrufer,anrufer,A2
Anruferin,anruferin,A2
Arbeitgeber,arbeitgeber,A2
Arbeitgeberin,arbeitgeberin,A2
Arbeitsauftrag,arbeitsauftrag,A2
Arbeitsbeginn,arbeitsbeginn,A2
Arbeitsschutz,arbeitsschutz,A2
Arbeitsvertrag,arbeitsvertrag,A2
Aufzug,aufzug,A2
Außendienst,außendienst,A2
ausmachen,ausmachen,A2
Beauftragte,beauftragte,A2
bereit,bereit,A2
bereitstellen,bereitstellen,A2
besprechen,besprechen,A2
Besprechung,besprechung,A2
betätigen,betätigen,A2
betreffen,betreffen,A2
bewahren,bewahren,A2
bewegen,bewegen,A2
Bildschirm,bildschirm,A2
Brand,brand,A2
Brandbekämpfung,brandbekämpfung,A2
Brandfall,brandfall,A2
Brandmelder,brandmelder,A2
Brandschutz,brandschutz,A2
brennen,brennen,A2
Buchhaltung,buchhaltung,A2
danken,danken,A2
deutlich,deutlich,A2
echt,echt,A2
Einweisung,einweisung,A2
Elektrik,elektrik,A2
Entwurf,entwurf,A2
erlauben,erlauben,A2
erwarten,erwarten,A2
erwischen,erwischen,A2
Feuerlöscher,feuerlöscher,A2
Flamme,flamme,A2
folgen,folgen,A2
gefährden,gefährden,A2
gestalten,gestalten,A2
gesund,gesund,A2
Grafik,grafik,A2
Grafiker,grafiker,A2
Grafikerin,grafikerin,A2
Hektik,hektik,A2
heraussuchen,heraussuchen,A2
hinfahren,hinfahren,A2
höflich,höflich,A2
Internetzugang,internetzugang,A2
Kabelsalat,kabelsalat,A2
kennzeichnen,kennzeichnen,A2
Kerze,kerze,A2
Konto,konto,A2
Kontoverbindung,kontoverbindung,A2
kopieren,kopieren,A2
Kraft,kraft,A2
Kundenbetreuung,kundenbetreuung,A2
Laptop,laptop,A2
Marketing,marketing,A2
Mehrfachsteckdose,mehrfachsteckdose,A2
mitschreiben,mitschreiben,A2
