Word,Lower,Level
Erdbeben,erdbeben,B1
Erde,erde,B1
Erderwärmung,erderwärmung,B1
Erlaubnis,erlaubnis,B1
Förster,förster,B1
Försterin,försterin,B1
Gegenstand,gegenstand,B1
Gegenvorschlag,gegenvorschlag,B1
giftig,giftig,B1
Haushalt,haushalt,B1
Hochwasser,hochwasser,B1
Hörer,hörer,B1
Hörerin,hörerin,B1
Kaffeefilter,kaffeefilter,B1
Klima,klima,B1
Klimawandel,klimawandel,B1
Konservendose,konservendose,B1
Kunststoff,kunststoff,B1
Luft,luft,B1
Matratze,matratze,B1
Metall,metall,B1
Milchkarton,milchkarton,B1
Mülltonne,mülltonne,B1
Mülltrennung,mülltrennung,B1
Naturkatastrophe,naturkatastrophe,B1
Naturprodukt,naturprodukt,B1
Obstschale,obstschale,B1
Papiermüll,papiermüll,B1
Pappe,pappe,B1
Picknick,picknick,B1
Planet,planet,B1
Plastik,plastik,B1
recyceln,recyceln,B1
Sack,sack,B1
Sammelstelle,sammelstelle,B1
schädigen,schädigen,B1
schädlich,schädlich,B1
Schadstoff,schadstoff,B1
schützen,schützen,B1
Solarenergie,solarenergie,B1
Sondermüll,sondermüll,B1
Sonnenschein,sonnenschein,B1
Sorge,sorge,B1
sparsam,sparsam,B1
Sperrmüll,sperrmüll,B1
stattfinden,stattfinden,B1
Tierschutz,tierschutz,B1
Trinkwasser,trinkwasser,B1
trüb,trüb,B1
Tsunami,tsunami,B1
Turm,turm,B1
umdrehen,umdrehen,B1
umgehen,umgehen,B1
umweltfreundlich,umweltfreundlich,B1
Umweltschutz,umweltschutz,B1
Umweltverschmutzung,umweltverschmutzung,B1
Unwetter,unwetter,B1
verändern,verändern,B1
verlaufen,verlaufen,B1
verschmutzen,verschmutzen,B1
verschwenden,verschwenden,B1
Verschwendung,verschwendung,B1
versprechen,versprechen,B1
verwerten,verwerten,B1
voraussichtlich,voraussichtlich,B1
vorhersagen,vorhersagen,B1
wahrscheinlich,wahrscheinlich,B1
wegschmeißen,wegschmeißen,B1
wegwerfen,wegwerfen,B1
Wertstoff,wertstoff,B1
Wind,wind,B1
Windel,windel,B1
Wirbelsturm,wirbelsturm,B1
Wolke,wolke,B1
zerstören,zerstören,B1
Zerstörung,zerstörung,B1
Zigarettenkippe,zigarettenkippe,B1
anfassen,anfassen,B1
Anprobe,anprobe,B1
anprobieren,anprobieren,B1
Art,art,B1
Artikelnummer,artikelnummer,B1
Atmung,atmung,B1
atmungsaktiv,atmungsaktiv,B1
aufmerksam,aufmerksam,B1
Auftrag,auftrag,B1
Auftragsnummer,auftragsnummer,B1
ausliefern,ausliefern,B1
Auswahl,auswahl,B1
Bankeinzug,bankeinzug,B1
bereits,bereits,B1
beschädigt,beschädigt,B1
Bestellhotline,bestellhotline,B1
Betrag,betrag,B1
Bezahlvorgang,bezahlvorgang,B1
Callcenter,callcenter,B1
Datenschutz,datenschutz,B1
dicht,dicht,B1
durchlässig,durchlässig,B1
ebenso,ebenso,B1
eher,eher,B1
Eigentum,eigentum,B1
Ergänzung,ergänzung,B1
erhältlich,erhältlich,B1
eventuell,eventuell,B1
falls,falls,B1
Gutschein,gutschein,B1
herstellen,herstellen,B1
Herstellung,herstellung,B1
Impressum,impressum,B1
innerhalb,innerhalb,B1
irgendwie,irgendwie,B1
Kauf,kauf,B1
Kaufbestätigung,kaufbestätigung,B1
Käufer,käufer,B1
Käuferin,käuferin,B1
Kaufvertrag,kaufvertrag,B1
Kosmetik,kosmetik,B1
Kundenbefragung,kundenbefragung,B1
kundenfreundlich,kundenfreundlich,B1
Lager,lager,B1
lieferbar,lieferbar,B1
Lieferbedingung,lieferbedingung,B1
Lieferung,lieferung,B1
luftdurchlässig,luftdurchlässig,B1
Mehrkosten,mehrkosten,B1
Nachnahme,nachnahme,B1
Nachteil,nachteil,B1
Onlineeinkauf,onlineeinkauf,B1
Onlineshop,onlineshop,B1
Onlineshopping,onlineshopping,B1
Paket,paket,B1
Paketbote,paketbote,B1
Paketdienst,paketdienst,B1
Porto,porto,B1
portofrei,portofrei,B1
Portokosten,portokosten,B1
produzieren,produzieren,B1
Qualität,qualität,B1
Reklamation,reklamation,B1
Retoure,retoure,B1
Retourenschein,retourenschein,B1
Rücksendung,rücksendung,B1
Shopping,shopping,B1
unverbindlich,unverbindlich,B1
Verbraucher,verbraucher,B1
Verbraucherin,verbraucherin,B1
verpacken,verpacken,B1
Versand,versand,B1
Versandkosten,versandkosten,B1
versandkostenfrei,versandkostenfrei,B1
Versandkostenpauschale,versandkostenpauschale,B1
versenden,versenden,B1
Ware,ware,B1
Warenkorb,warenkorb,B1
wasserdicht,wasserdicht,B1
Werktag,werktag,B1
wetterfest,wetterfest,B1
widerrufen,widerrufen,B1
Widerrufsrecht,widerrufsrecht,B1
Zahlung,zahlung,B1
zurückschicken,zurückschicken,B1
zurücksenden,zurücksenden,B1
zurücktreten,zurücktreten,B1
zustellen,zustellen,B1
Alter,alter,B1
anschauen,anschauen,B1
Anstoß,anstoß,B1
anstrengend,anstrengend,B1
Autorennen,autorennen,B1
befragen,befragen,B1
begeistern,begeistern,B1
beliebt,beliebt,B1
Biergarten,biergarten,B1
Boxen,boxen,B1
Chips,chips,B1
demnächst,demnächst,B1
Detektivgeschichte,detektivgeschichte,B1
Diagramm,diagramm,B1
Diskussion,diskussion,B1
Dokumentation,dokumentation,B1
doppelt,doppelt,B1
dramatisch,dramatisch,B1
Durchschnitt,durchschnitt,B1
DVD,dVD,B1
ehrlich,ehrlich,B1
einschlafen,einschlafen,B1
einsetzen,einsetzen,B1
Eishockey,eishockey,B1
Eiskunstlauf,eiskunstlauf,B1
entstehen,entstehen,B1
Ereignis,ereignis,B1
erfolgreich,erfolgreich,B1
Ergebnis,ergebnis,B1
Experte,experte,B1
Expertin,expertin,B1
Fußballclub,fußballclub,B1
Fan,fan,B1
Gewohnheit,gewohnheit,B1
Golf,golf,B1
Handball,handball,B1
Horrorfilm,horrorfilm,B1
Herz,herz,B1
Kandidat/in,kandidat/in,B1
Kommissar,kommissar,B1
Kommissarin,kommissarin,B1
Kommentatorin,kommentatorin,B1
Kommentator,kommentator,B1
Komödie,komödie,B1
Krimi,krimi,B1
kuscheln,kuscheln,B1
Langeweile,langeweile,B1
Leichtathletik,leichtathletik,B1
Lieblingsbeschäftigung,lieblingsbeschäftigung,B1
Magazin,magazin,B1
Mannschaft,mannschaft,B1
Mehrheit,mehrheit,B1
Minderheit,minderheit,B1
mitreden,mitreden,B1
Mittelfeld,mittelfeld,B1
Moderation,moderation,B1
Mord,mord,B1
motiviert,motiviert,B1
naschen,naschen,B1
Niederlage,niederlage,B1
objektiv,objektiv,B1
Quizshow,quizshow,B1
Radrennen,radrennen,B1
Rangliste,rangliste,B1
Rätsel,rätsel,B1
Reportage,reportage,B1
Reporterin,reporterin,B1
Reporter,reporter,B1
retten,retten,B1
romantisch,romantisch,B1
Runde,runde,B1
schalten,schalten,B1
Schiedsrichter,schiedsrichter,B1
schießen,schießen,B1
Seifenoper,seifenoper,B1
Sendung,sendung,B1
Serie,serie,B1
siegen,siegen,B1
Sieger,sieger,B1
Siegerin,siegerin,B1
Skisport,skisport,B1
Soap,soap,B1
spannend,spannend,B1
Spielerin,spielerin,B1
Spieler,spieler,B1
Spielfilm,spielfilm,B1
Stadion,stadion,B1
Statistik,statistik,B1
Tagesablauf,tagesablauf,B1
Talkshow,talkshow,B1
Tor,tor,B1
Torwart,torwart,B1
Torwartin,torwartin,B1
Tote,tote,B1
Übertragung,übertragung,B1
unentschieden,unentschieden,B1
ungesund,ungesund,B1
Unterhaltung,unterhaltung,B1
Verlierer,verlierer,B1
Verliererin,verliererin,B1
Weltmeisterschaft,weltmeisterschaft,B1
weshalb,weshalb,B1
zappen,zappen,B1
Zeichentrickfilm,zeichentrickfilm,B1
Zeitverschwendung,zeitverschwendung,B1
Zuschauer,zuschauer,B1
Zuschauerin,zuschauerin,B1
Alliierte,alliierte,B1
Amtssprache,amtssprache,B1
anfangs,anfangs,B1
anheben,anheben,B1
Arbeitskraft,arbeitskraft,B1
Arbeitslosigkeit,arbeitslosigkeit,B1
Astronaut,astronaut,B1
Astronautin,astronautin,B1
Asyl,asyl,B1
aufschreiben,aufschreiben,B1
aufteilen,aufteilen,B1
Auswanderer,auswanderer,B1
Auswanderung,auswanderung,B1
Besatzungszone,besatzungszone,B1
besiegen,besiegen,B1
Bundeskanzlerin,bundeskanzlerin,B1
Bundeskanzler,bundeskanzler,B1
Bundesrepublik,bundesrepublik,B1
Bürger,bürger,B1
Bürgerin,bürgerin,B1
Bürgerkrieg,bürgerkrieg,B1
Demokratie,demokratie,B1
demokratisch,demokratisch,B1
Demonstration,demonstration,B1
Deutsche Demokratische Republik,deutsche Demokratische Republik,B1
ehemalig,ehemalig,B1
einführen,einführen,B1
einsperren,einsperren,B1
Einwanderung,einwanderung,B1
emotional,emotional,B1
entwickeln,entwickeln,B1
erinnern,erinnern,B1
Erinnerung,erinnerung,B1
ernähren,ernähren,B1
Europäische Union,europäische Union,B1
Euroeinführung,euroeinführung,B1
